Username,Short_Reviews,Long_Reviews,Restaurant_names,User_rating,Short_Reviews_sentiment
Simon Tremblay,Great place for a nice dinner ,"Nice place with plenty of room.
Service is great and fun
Classic menu but with an extra twist of quality.
I would like to return !",Moxies,50,0.7
Simon Tremblay,Great place & fun ,"Frendly staff !

Lots of gluten-free options 
Specialize food too

I did try some : 
- orange vine
- dutch rice
- lemon sorbette
 and others ",Bistro Los Tulipanes,50,0.55
Simon Tremblay,Super ! Awesome !! Epic fishing trip !!,"Super ! Awesome !! Epic !
Frendly and fun ride into a nice 40ft boat
We hunt for the bigger Mahi-mahi fish by our kind fisherman.",Aqua Sports Center and Scuba Dive,50,0.52
Simon Tremblay,Great experience ,"The menu is limited in number but they always keep great choises.

I do love the 8 services experience !
To try new things !

The service is friendly.

Drinks a...",Bistro Kapzak,50,0.8
shropshiretom,Competent and well organized eatery .,"Lead waitress was professional and a great ambassador for the 
restaurant - welcoming , patient and knowledgeable .
Food was decent and well presented : Smoked ...",The Leeky Canoe Pub & Eatery,40,0.5
shropshiretom,Nice experience - the team obviously take great pride .,"By far one of the busiest restaurants in the area .
We had not booked , but were warmly greeted , and after a few 
seconds of deliberation were seated at a tabl...",Cafe Polonez,40,0.47
shropshiretom,"Good diner , relaxed atmosphere in a great location .","Ate here twice during our regular visit to Toronto - once for breakfast , and again for Sunday brunch .
Despite being busy , the staff remained calm and proacti...",Caf̩ Diplomatico,40,0.75
shropshiretom,Quality unpretentious middle eastern fare .,"Second visit to this slick operation .
Menu somewhat difficult to interpret , but any questions we had were
quickly answered by the supervisor  / owners ?
The R...",The Good Fork,50,0
shropshiretom,"Slightly above average , but tinned mushroom? Yuk .","Nice staff , welcoming and reasonably attentive .
Good range of beers .
Ordered Sausage Pizza , which was fab but 
avoid the Meatball Sub at all costs ! 
Only t...",Firehall Pizza Co,40,-0.07
shropshiretom,"For the price and reputation , perfection was expected  , but not received .","We were well received , and greeted nicely by the reception staff who led us to a back wall booth on the first floor .The fabric of the restaurant is suave and ...",Hy's Steakhouse Toronto,30,-0.1
shropshiretom,"Top price ,  minimal  portions = poor business strategy .","Last year , we moved our Pizza purchasing from Domino's at Tettenhall  to Papa John's in Codsall - their advertising of ' better ingredients , better pizzas ' a...",Papa Johns Pizza,30,0
shropshiretom,"Great hospitality , and quality food .","My wife and  I visited Latimer's for the first time last Friday - friends of ours had sent us a Latimer's meal  voucher as a gift , and we are glad they did ! 
...",Latimer's of Shifnal,50,0.8
shropshiretom,Need to do much better. ,"Sadly we also lunched at The Courthouse on Jan 21st - although the staff were reasonably attentive , the two course meal took well over 2 hours in a somewhat ch...",The Courthouse,20,0.5
shropshiretom,The Hotel grew on us after initial impressions,"We travelled with Jet2 in early Dec 2022 , and both legs of the journey from Birmingham airport  were on time and efficiently handled   .
Our initial impression...",Barcelo Lanzarote Active Resort,40,0
shropshiretom,Pleasantly surprised on a cold December afternoon .,"Stumbled upon La Piazetta after  failing to get seating or attention at two  
adjacent nationwide restaurants .We were greeted promptly and guided to a 
window ...",Barcelo Lanzarote Active Resort,40,-0.25
shropshiretom,Basic facilities for 5 star prices .,"Attended the Ball/Boe concert  Nov 29th .
Parking was smooth . Bus transfer relatively prompt , bus the E1 bus shelter which was 
a long , grubby Perspex tube n...",La Piazzetta,30,0
shropshiretom,Lamb to die for,"We regularily  have takeaways from Aroma , and generally these have been acceptable - however last week we had a fab meal of Lamb Rogan Josh ( so lean and tasTy...",Resorts World Arena,50,0
shropshiretom,Not prepared for customers,"Eaten here twice in the last 2 years , and both times were unacceptable .
Large cheese Raviolli that seemed freezer burnt and filling like sawdust  , veal salti...",Aroma,20,0
shropshiretom,"Food above average , but no service leadership .","Last eat here 3 years ago , and suggested on T/A  that the greeting was poor and that there needs to be someone leading the service team who  takes ownership .
...",Al Sorriso,30,-0.07
shropshiretom,Below par,Visited yesterday Oct 13th for lunch with visiting friends as a party of four  ; we were greeted well but taken to a small table that was inadequate for the mai...,Shrewsbury Arms,30,0
shropshiretom,"Crisp service , and good food .","Visited last evening with my wife ( Aug 22) for Sunday dinner , and was pleasantly surprised by the prompt and friendly greeting , and the joined- up levels of ...",C̫te Brasserie - Shrewsbury,50,0.47
shropshiretom,For the price it needs to up its game ...,"Check in was pleasant enough , but no mention of the residents parking which would have saves us many  yards of suitcase carrying from the general car park  .
R...",The Wooden Fender,30,-0.4
LALA,Bad experience,I had a disappointing experience at the restaurant due to the bad service. The waitstaff seemed inattentive and the overall dining experience suffered as a resu...,Verace Italian Restaurant,30,-0.7
